SHIFTED detector across the ladder. x=2.0 sigma, tau=20, 35 roots, 40 shuffles, realised-fill P&L
  span 51 bars -- at s=13 that is 663 minutes, so the top of the ladder CANNOT be measured causally in a session

  s (min)  clock gap   windows    exc   P(ret)   null    EXCESS    t      P&L ticks  median
           est->trade                                                    (realised)
        1         10m      3,294  3,012   0.2039  0.1778  +0.0261   +3.5       +1.60    -4.00
        2         20m      1,829  1,630   0.2012  0.1749  +0.0263   +2.6       -0.03    -5.00
        3         30m      1,269  1,130   0.1832  0.1705  +0.0127   +1.1       -1.85    -6.00
        5         50m        708    641   0.1794  0.1642  +0.0152   +1.0       +3.80    -3.00
        8         80m        304    262   0.2023  0.1474  +0.0549   +2.2       +5.53    -2.50

  DRIFT ALIGNMENT -- only excursions where the level drifts TOWARD the price (tailwind)
  s (min)   align      exc    P(ret)   EXCESS vs all   P&L ticks   median
        1   tailwind   2,066   0.1258        --           +1.32    -3.50
        1   headwind     946   0.3742        --           +2.21    -5.00
        2   tailwind   1,118   0.1234        --           -0.61    -4.50
        2   headwind     512   0.3711        --           +1.25    -6.00
        3   tailwind     796   0.1181        --           -0.09    -4.75
        3   headwind     334   0.3383        --           -6.04    -9.25
        5   tailwind     488   0.1107        --           +3.12    -2.75
        5   headwind     153   0.3987        --           +5.97    -3.50
        8   tailwind     198   0.1313        --           +1.57    -2.50
        8   headwind      64   0.4219        --          +17.77    -2.50
